Key,English
modPowerArmorBoots_Model_G1,Power Armor (Boots)
modPowerArmorBoots_Model_H1,Power Armor (Boots)
modPowerArmorBoots_Model_I1,Power Armor (Boots)
modPowerArmorBoots_Model_J1,Power Armor (Boots)
modPowerArmorBoots_Model_K1,Power Armor (Boots)
modPowerArmorHelmet_Model_WR1,[FFC300]White River Power Armor[-] (Helmet)
modPowerArmorHelmet_Model_WR1Desc,"This is a legendary piece of power armor. It installs into a Power Armor Frame piece."
modPowerArmorChest_Model_WR1,[FFC300]White River Power Armor[-] (Chest)
modPowerArmorChest_Model_WR1Desc,"This is a legendary piece of power armor. It installs into a Power Armor Frame piece."
modPowerArmorArms_Model_WR1,[FFC300]White River Power Armor[-] (Arms)
modPowerArmorArms_Model_WR1Desc,"This is a legendary piece of power armor. It installs into a Power Armor Frame piece."
modPowerArmorLegs_Model_WR1,[FFC300]White River Power Armor[-] (Legs)
modPowerArmorLegs_Model_WR1Desc,"This is a legendary piece of power armor. It installs into a Power Armor Frame piece."
modPowerArmorBoots_Model_WR1,[FFC300]White River Power Armor[-] (Boots)
modPowerArmorBoots_Model_WR1Desc,"This is a legendary piece of power armor. It installs into a Power Armor Frame piece."
PABundle1,Power Armor Set
PABundle1Desc,This bundle contains a full set of Power Armor.
PABundle2,Power Armor Set
PABundle2Desc,This bundle contains a full set of Power Armor.
PABundle3,Power Armor Set
PABundle3Desc,This bundle contains a full set of Power Armor.
PABundle4,Power Armor Set
PABundle4Desc,This bundle contains a full set of Power Armor.
PABundle5,Power Armor Set
PABundle5Desc,This bundle contains a full set of Power Armor.
PABundle6,Power Armor Set
PABundle6Desc,This bundle contains a full set of Power Armor.
PABundle7,Power Armor Set
PABundle7Desc,This bundle contains a full set of Power Armor.
PABundle8,Power Armor Set
PABundle8Desc,This bundle contains a full set of Power Armor.
PABundle9,Power Armor Set
PABundle9Desc,This bundle contains a full set of Power Armor.
PABundle10,Power Armor Set
PABundle10Desc,This bundle contains a full set of Power Armor.
PABundle11,Power Armor Set
PABundle11Desc,This bundle contains a full set of Power Armor.
PowerArmorStand,Power Armor Stand
PowerArmorStand2,Power Armor Stand
PowerArmorStand3,Power Armor Stand
PowerArmorStand4,Power Armor Stand
PowerArmorStand5,Power Armor Stand
PowerArmorStand6,Power Armor Stand
PowerArmorStand7,Power Armor Stand
PowerArmorStand8,Power Armor Stand
PowerArmorStand9,Power Armor Stand
PowerArmorStand10,Power Armor Stand
PowerArmorStand11,Power Armor Stand
PowerArmorStand12,Power Armor Stand
PowerArmorStandHelper,Power Armor Stand (Helper)
PowerArmorStandHelperDesc,This block will randomly spawn one of the power armor stands.
modPowerArmorHelmetRadar,Power Armor Radar
modPowerArmorHelmetRadarDesc,Can be installed in a Power Armor Helmet. Will show nearby enemies on the compass.
modPowerArmorHelmetRadarMK2,Power Armor Radar MkII
modPowerArmorHelmetRadarMK2Desc,Can be installed in a Power Armor Helmet. Will show enemies on the compass.
modPowerArmorHelmetScuba,Power Armor Oxygen Generator
modPowerArmorHelmetScubaDesc,Can be installed in a Power Armor Helmet. Allows you to remain underwater indefinitely.
modPowerArmorArmsBlockBuster,Power Armor Block Buster
modPowerArmorArmsBlockBusterDesc,Can be installed in Power Armor Arms. Increases melee block damage.
modPowerArmorArmsMelee,Power Armor Knuckles
modPowerArmorArmsMeleeDesc,Can be installed in a Power Armor Arms. Can cause enemies to bleed.
modPowerArmorChestPlating,Power Armor Reinforced Plating
modPowerArmorChestPlatingDesc,Can be installed in Power Armor Chest. Reduces damage taken.
modPowerArmorChestEmergencyProto,Power Armor Emergency Protocol
modPowerArmorChestEmergencyProtoDesc,Can be installed in a Power Armor Chest. Slowly regenerate health when below 50%.
modPowerArmorLegsShocks,Power Armor Sturdy Shocks
modPowerArmorLegsShocksDesc,Can be installed in Power Armor Legs. Removes all encumbrance slots.
modPowerArmorLegsImpactLanding,Power Armor Impact Landing
modPowerArmorLegsImpactLandingDesc,Can be installed in Power Armor Legs. When falling at least 8 blocks with a full set of Power Armor you will knock any nearby enemies down.
modPowerArmorLegsJumpBoost,Power Armor Jump Boost
modPowerArmorLegsJumpBoostDesc,Can be installed in Power Armor Legs. Increases jump height by 50%.
modPowerArmorBootsGyros,Power Armor Enhanced Gyros
modPowerArmorBootsGyrosDesc,Can be installed in Power Armor Boots. Allows you to run faster while using less stamina.
modPowerArmorBootsDampener,Power Armor Fall Dampener
modPowerArmorBootsDampenerDesc,Can be installed in Power Armor Boots. Reduces fall damage by 75%, and if wearing a full set of Power Armor it will remove fall damage completely.
modPowerArmorRadResistant,Power Armor Rad Resistant
modPowerArmorRadResistantDesc,Can be installed in Power Armor. Makes you immune to radiation sickness from ghouls.
modPowerArmorHelmetNightVision,Power Armor Night Vision
modPowerArmorHelmetNightVisionDesc,Can be installed in Power Armor Helmet. Gives you a clearer night vision.
modPowerArmorArmsTeslaBracers,Power Armor Tesla Bracers
modPowerArmorArmsTeslaBracersDesc,Can be installed in Power Armor Hands. Adds a small chance to electrocute your target.
modPowerArmorChestTesla,Power Armor Tesla Coils
modPowerArmorChestTeslaDesc, Can be installed in Power Armor Chest. Will briefly zap and enemy that hits you.
modPowerArmorChestBloodFilter,Power Armor Blood Filter
modPowerArmorChestBloodFilterDesc,Can be installed in Power Armor Chest. Adds 50% resistance to addiction debuffs.
modArmorExtraInsulation,Extra Insulation Mod
modArmorExtraInsulationDesc,Adds moderate hypothermal insulation.
modArmorBreathableMesh,Breathable Mesh Mod
modArmorBreathableMeshDesc,Adds moderate hyperthermal insulation.
modArmorTemperedPlating,Tempered Plating Mod
modArmorTemperedPlatingDesc,Provides moderate physical protection.

perkWildWasteland,Wild Wasteland
perkWildWastelandDesc,A collection of random knowledge to give you various benefits out in the Wasteland.
perkWhiteRiverSG,White River Survival Guide
perkWhiteRiverSGDesc,A collection of survival knowledge to help you get by out in the Wasteland.
perkPowerArmor,Power Armor and You
perkPowerArmorDesc,A collection of tips and tricks to help you get the most out of your Power Armor while roaming the Wasteland.

bookWildWastelandHeavyHands,Wild Wasteland Vol 1
bookWildWastelandPrecisionStrike,Wild Wasteland Vol 2
bookWildWastelandLordoftheLimbs,Wild Wasteland Vol 3
bookWildWastelandDeepFreeze,Wild Wasteland Vol 4
bookWildWastelandZap,Wild Wasteland Vol 5
bookWildWastelandRaiderBully,Wild Wasteland Vol 6
bookWildWastelandZedtheImpaler,Wild Wasteland Vol 7

bookWhiteRiverSGTheHaggler,White River Survival Guide Vol 1
bookWhiteRiverSGTumblers,White River Survival Guide Vol 2
bookWhiteRiverSGIronGut,White River Survival Guide Vol 3
bookWhiteRiverSGScratch,White River Survival Guide Vol 4
bookWhiteRiverSGRecovery,White River Survival Guide Vol 5
bookWhiteRiverSGSprinterWeekly,White River Survival Guide Vol 6
bookWhiteRiverSGKeenEyes,White River Survival Guide Vol 7

bookPowerArmorMasterRepair,Power Armor and You Vol 1
bookPowerArmorExtraPlating,Power Armor and You Vol 2
bookPowerArmorSteadyHands,Power Armor and You Vol 3
bookPowerArmorBullRush,Power Armor and You Vol 4
bookPowerArmorEfficientMovement,Power Armor and You Vol 5
bookPowerArmorStealthCrouch,Power Armor and You Vol 6
bookPowerArmorReflect,Power Armor and You Vol 7

perkWildWastelandHeavyHandsDesc,Gain a small chance to knock an enemy down when using melee weapons.
perkWildWastelandHeavyHandsLongDesc,"Heavy Hands: You've learned to be more effective with your melee attacks, allowing you a chance to knock your enemy down."
perkWildWastelandPrecisionStrikeDesc,Adds a small chance to deal double damage in combat.
perkWildWastelandPrecisionStrikeLongDesc,"Precision Strike: Learning the art of combat has given you a small chance to deal double damage."
perkWildWastelandLordoftheLimbsDesc,Increases damage to limbs.
perkWildWastelandLordoftheLimbsLongDesc,"Lord of the Limbs: The best way to deal with an enemy is to cripple their limbs. They can't catch you or hit you with the extra damage you now do to those appendages."
perkWildWastelandDeepFreezeDesc,Adds 20% damage to the Cryolator.
perkWildWastelandDeepFreezeLongDesc,"Deep Freeze: You have learned how to increase the damage output of the Cryolator."
perkWildWastelandZapDesc,Adds 20% damage to the Alien Blaster.
perkWildWastelandZapLongDesc,"Zap!: You have learned how to increase the damage output of the Alien Blaster."
perkWildWastelandRaiderBullyDesc,Deal more 15% damage to Raiders.
perkWildWastelandRaiderBullyLongDesc,"Raider Bully: You've grown tired of the Raiders crap. Any Raider you come across will feel your wrath!"
perkWildWastelandZedtheImpalerDesc,Deal 10% more damage to Zeds.
perkWildWastelandZedtheImpalerLongDesc,"Zed the Impaler: The experience you've gained fighting zeds has taught you to be more effective against them."
perkWildWastelandCompleteDesc,Learn how to craft energy ammo.
perkWildWastelandCompleteLongDesc,"The Ammo of Tomorrow: With the growing threats out in the Wasteland, more powerful weaponry is needed to ensure your survival. You can now craft energy weapon ammo."

perkWhiteRiverSGTheHagglerDesc,Sell for 10% more and buy for 10% less.
perkWhiteRiverSGTheHagglerLongDesc,"The Haggler: Part of surviving is being able to get better deals with traders. Save a bit of coin when buying and line your pockets a little more when selling."
perkWhiteRiverSGTumblersDesc,Lockpicks are 25% less likely to break.
perkWhiteRiverSGTumblersLongDesc,"Tumblers of Tomorrow: Lockpicking is now a bit easier for you."
perkWhiteRiverSGIronGutDesc,Slows water and food loss. Lessens the chance of getting dysentery.
perkWhiteRiverSGIronGutLongDesc,"Iron Gut: Over time you have learned to be able to go longer between meals. You also won't get dysentery as easily."
perkWhiteRiverSGScratchDesc,Adds a 20% resistance to most negative effects.
perkWhiteRiverSGScratchLongDesc,"'Tis But A Scratch: All those injuries have increased your resistance to most negative effects."
perkWhiteRiverSGRecoveryDesc,Regenerate a small amount of health over time.
perkWhiteRiverSGRecoveryLongDesc,"Recovery: Your body has learned how to heal on its own. You will slowly gain health."
perkWhiteRiverSGSprinterWeeklyDesc,Use 10% less stamina when running.
perkWhiteRiverSGSprinterWeeklyLongDesc,"Sprinter Weekly: Just keep running! You use less stamina when running."
perkWhiteRiverSGKeenEyesDesc,Adds 10% to your loot gamestage.
perkWhiteRiverSGKeenEyesLongDesc,"Keen Eyes: The experience you've gained scrounging through the wastes has honed your eyes, making it easier to find better loot."
perkWhiteRiverSGCompleteDesc,Learn how to craft various furniture.
perkWhiteRiverSGCompleteLongDesc,"Survive and Thrive: The next step after surviving is thriving. That means making your living space more comfortable. You may now craft an assortment of furniture and storage containers."

perkPowerArmorMasterRepairDesc,Craft repair kits for Power Armor 50% faster with less materials.
perkPowerArmorMasterRepairLongDesc,"Master Repair: Maintaining your Power Armor is vital. Spend less time and materials making Power Armor repair kits."
perkPowerArmorExtraPlatingDesc,Power Armor degrades 20% slower.
perkPowerArmorExtraPlatingLongDesc,"Extra Plating: Install some extra plating so your Power Armor lasts longer."
perkPowerArmorSteadyHandsDesc,Steady your aim when wearing Power Armor.
perkPowerArmorSteadyHandsLongDesc,"Steady Hands: Learn how to use Power Armor to increase your accuracy."
perkPowerArmorBullRushDesc,Running into zeds while wearing Power Armor will knock them down.
perkPowerArmorBullRushLongDesc,"Bull Rush: Put that extra weight to use and charge right through your enemies."
perkPowerArmorEfficientMovementDesc,Use less stamina when wearing Power Armor.
perkPowerArmorEfficientMovementLongDesc,"Efficient Movement: Learn how to make the Power Armor work for you to save stamina."
perkPowerArmorStealthCrouchDesc,Use less stamina and move faster when crouching. Also makes you harder to detect.
perkPowerArmorStealthCrouchLongDesc,"Stealth Crouch: Move stealthily, faster! Move faster and use less stamina when crouching."
perkPowerArmorReflectDesc,Reflect 25 damage onto your attacker.
perkPowerArmorReflectLongDesc,"Reflect: You can now literally watch your enemies kill themselves with each swing! Just know if it kills them you'll get no XP."
perkPowerArmorCompleteDesc,Raise your max Health and Stamina.
perkPowerArmorCompleteLongDesc,"Walking Tank: You have unlocked the full potential of the Power Armor."

questPewPew,Sunset Sarsaparilla Flier
questPewPewDesc,A flier for the Star Bottlecap giveaway. Read it to learn where to go to claim your prize!
qt_bdubyah, Bdubyah's Treasure Map
treasure_bdub,Bdub's Treasure
treasure_bdub_offer,"Survivor,\n\nI don't even know you, and I probably don't like you, but I've been cornered by some raiders, and I don't like my chances. As much as I hate to give away my stuff, I'd rather it not go to waste. This map will show you were one of my personal stashes is located. Take it, and kill every last raider POS you come across.\n\nStay alive and make them wish they weren't,\nBdubyah"
questoldMap,Old Map
questoldMapDesc,An old map the trader gave me to show where the fool's stash is. Read it to learn where the prize should be.
questLetter,Old Letter
questLetterDesc,Some old letter that didn't make it to its intended target.
cntPewPewLoot,Hidden Stash
cntBdubChest,Bdub's Hidden Stash
cntBdubChestInsecure,Bdub's Hidden Stash
noteNF,Old Journal Page
noteNFDesc,"Gotta remember to head back to that old Nuka Factory at some point. We had to leave in a hurry and didn't get to clean out the stash we hid in the bottling area. Probably a lot of blood around since we got attacked trying to hide our stuff. No telling what kind of shit is inside that place now though, or if anything is even left."
noteCM,Old Journal Page
noteCMDesc,"We had found a hidden survival room someone built under an old cemetary, but one of those glowy guys fell down in the pit so we had to abandon it and all the loot they stashed there. Gotta try and get back to it once we have some gear."

questRewardT0WLHandgunBundle,Pipe Pistol Bundle
questRewardT0WLRifleBundle,Pipe Rifle Bundle
questRewardT0WLShotgunBundle,Pipe Shotgun Bundle
questRewardT1WLHandgunBundle,10mm Pistol Bundle
questRewardT1WLShotgunBundle,Antique Shotgun Bundle
questRewardT1WLRifleBundle,Service Rifle Bundle
questRewardT1WLMachineGunBundle,Browning Automatic Rifle Bundle
questRewardT2WLHandgunBundle,10mm Revolver Bundle
questRewardT2WLShotgunBundle,Triple Barrel Shotgun Bundle
questRewardT2WLRifleBundle,Lever Action Rifle Bundle
questRewardT2WLMachineGunBundle,SCAR Assault Rifle Bundle
questRewardT3WLHandgunBundle,1911 Bundle
questRewardT3WLSMGBundle,Vector SMG Bundle
questRewardT3WLShotgunBundle,Combat Shotgun Bundle
questRewardT3WLRifleBundle,Heavy Sniper Bundle
questRewardT3WLMachineGunBundle,Minigun Bundle
questRewardT3WLHandgunLegendaryBundle,Old 1911 Legendary Bundle
questRewardT3WLSMGLegendaryBundle,Vector SMG Legendary Bundle
questRewardT3WLShotgunLegendaryBundle,Combat Shotgun Legendary Bundle
questRewardT3WLRifleLegendaryBundle,Heavy Sniper Legendary Bundle
questRewardT3WLMachineGunLegendaryBundle,Minigun Legendary Bundle
questRewardT4LaserModsBundle,Laser Mods Bundle
questRewardT4LaserModsBundleDesc,A bundle of 3 Laser weapon mods.
questRewardT5PlasmaModsBundle,Plasma Mods Bundle
questRewardT5PlasmaModsBundleDesc,A bundle of 3 Plasma weapon mods.
questRewardT3PAModsBundle,Power Armor Mods Bundle 01
questRewardT3PAModsBundleDesc,A bundle of 3 good Power Armor mods.
questRewardT4PAModsBundle,Power Armor Mods Bundle 02
questRewardT4PAModsBundleDesc,A bundle of 3 great Power Armor mods.
questRewardT5PAModsBundle,Power Armor Mods Bundle 03
questRewardT5PAModsBundleDesc,A bundle of 3 excellent Power Armor mods.
questRewardT5PASetWRBundle,Legendary Power Armor Bundle
questRewardT5PASetWRBundleDesc,Gives you a set of White River Power Armor. Quality varies from 4 to 6.
questRewardT3WLFoodBundle,Wasteland Food Bundle 01
questRewardT4WLFoodBundle,Wasteland Food Bundle 02
questRewardAtomCarPartsBundle,Atom Car Parts Bundle
questRewardICTPartsBundle,Ice Cream Truck Parts Bundle
questRewardSemiPartsBundle,Old Semi Parts Bundle
questRewardVertibirdPartsBundle,Vertibird Parts Bundle

LaserShotgunNoFireDesc,This weapon doesn't have enough cells to fire. Reload with more ammo for it function correctly.
statCureRadiation,Cure Radiation
statRadiationResist,Radiation Resistance
statVenomResist,Venom Resistance
statAddictionCure,Cure Addiction
statEntityDamageAll,Entity Damage
statShowLuck,Luck
statShowSurvival,Survival
statRadarRange,Radar Range
statBlockDamage,Block Damage

buffRadiation01GetBetterDesc,You have treated mild radiation sickness. Continue anti-radiation medication until the poisoning is cleared up.
buffRadiation01GetBetterName,Treated Mild Radiation Poisoning
buffRadiation01UntreatedDesc,You have mild radiation poisoning. It will get worse quickly if you don't find some anti-radiation medicine.
buffRadiation01UntreatedName,Mild Radiation Poisoning
buffRadiation01UntreatedTooltip,You are sick. Take anti-radiation medicine to avoid symptoms.
buffRadiation02GetBetterDesc,You have treated serious radiation poisoning. Continue anti-radiation medication.
buffRadiation02GetBetterName,Treated Radiation Poisoning
buffRadiation02UntreatedDesc,You have serious radiation poisoning. If left untreated it could lead to severe radiation poisoning which can cause death. Take anti-radiation medication as soon as possible.
buffRadiation02UntreatedName,Radiation Poisoning
buffRadiation03GetBetterDesc,You have treated life threatening severe radiation poisoning. Continue anti-radiation medication and avoid contact with infectious substances.
buffRadiation03GetBetterName,Treated Severe Radiation Poisoning
buffRadiation03UntreatedDesc,You have life threatening severe radiation poisoning. Take anti-radiation medication immediately.
buffRadiation03UntreatedName,Severe Radiation Poisoning
buffRadiation04Tooltip,You have died from radiation poisoning.
buffRadiationCureDisplayDesc,You have taken anti-radiation medication which will reduce radiation poisoning that you may be suffering. You can stack anti-radiation medication to increase duration.
buffRadiationCureDisplayName,Anti-radiation Medication
buffRadiationGettingWorseTooltip,Your radiation poisoning will no longer heal on its own.

buffRadiationResistDesc,You have taken radiation resistence medication which will reduce your chance to catch radiation poisoning. You will also take less damage from radiation emitting sources. You can stack radiation resistence medication to increase duration.
buffRadiationResistName,Rad Z

buffGhoulRadiationName,Moderate Radiation
buffGhoulRadiationDesc,There is a source of radiation nearby. Better get away from here!
buffGhoulRadiation2Name,Severe Radiation
buffGhoulRadiation2Desc,You didn't get away from here and now you'll probably die!
buffGhoulRadiationTooltip,There is a source of radiation nearby. Better turn around!
buffGhoulRadiation2Tooltip,You are getting too close to the radiation source! Turn around or die!

buffAntivenomDesc,You have taken some antivenom. It will cure any current effects and prevent new ones until it wears off.
buffAntivenomName,Antivenom
buffScorpionVenomDesc,You have been stung by a mutated scorpion. It will lower your max health until it wears off or you find some antivenom medicine.
buffScorpionVenomName,Scorpion Venom
buffScorpionVenomTooltip,You feel a little woozy. Max health lowered.
buffHunterVenomDrainDesc,You have been stung by a mutated scorpion and are suffering from its venom. It will lower your max health until it wears off or you find some antivenom medicine.
buffHunterVenomDrainName,Scorpion Sting
buffHunterVenomDrainTooltip,You feel a little woozy.
buffHunterVenomDesc,You have been stung by a hunter. It will lower your max health until it wears off or you find some antivenom medicine.
buffHunterVenomName,Hunter Venom
buffHunterVenomTooltip,You feel a little woozy.
buffMosqAnemiaDesc,You have been bitten by a mutant mosquito. It will lower your max health until it wears off or you find some antivenom medicine.
buffMosqAnemiaName,Mosquito Anemia
buffMosqAnemiaTooltip,You feel a little woozy.
buffMosqDrainDesc,You have been bitten by a mutant mosquito and are bleeding out.
buffMosqDrainName,Mosquito Bite
buffMosqDrainTooltip,You feel a little woozy.
buffSFDesc,You have been stung by a mutated scorpionfly. It will lower your max health until it wears off or you find some antivenom medicine.
buffSFName,Scorpionfly Venom
buffSFTooltip,You feel a little woozy. Max health lowered.
buffBadFoodDesc,You have consumed some food that was unfit to eat. Max health is reduced.
buffBadFoodName,Food Poisoning
buffBadFoodTooltip,You probably shouldn't have ate that...
buffSnakeVenomName,Snake Venom
buffSnakeVenomDesc,You have been bitten by a snake and it's made you sick. It will lower your max health until it wears off or you find some antivenom medicine.
buffSnakeVenomTooltip,You don't feel so good.
buffSicknessHeatstroke01Name,Heatstroke
buffSicknessHeatstroke01Desc,Being out in the heat has caused you to suffer a heatstroke. Get out of the heat! Drink something cold like a cola or smoothie to try and clear it up.
buffSicknessHeatstroke01Tooltip,The heat is getting to you...
buffSicknessHeatstroke02Name,Severe Heatstroke
buffSicknessHeatstroke02Desc,You didn't get out of the heat and have suffered a severe heatstroke. Get out of the heat now! Drink something cold like a cola or smoothie to try and clear it up.
buffSicknessHeatstroke02Tooltip,Whew. Is that an oasis out there?
buffSicknessCold01Name,Small Cold
buffSicknessCold01Desc,Being out in the cold has given you an annoying cough. Find some antibiotics to clear it up. Vitamins will shorten its duration.
buffSicknessCold01Tooltip,Probably shouldn't be out in the cold...
buffSicknessPneumonia01Name,Pneumonia
buffSicknessPneumonia01Desc,The severe cold has given you pneumonia. Find some antibiotics to cure it. Vitamins will shorten its duration.
buffSicknessPneumonia01Tooltip,Your cough has gotten worse...
buffSicknessPneumonia02Name,Severe Pneumonia
buffSicknessPneumonia02Desc,You now have a severe case of pneumonia. You need to get somewhere warm and find some antibiotics quickly! Vitamins will shorten its duration.
buffSicknessPneumonia02Tooltip,Those coughs are getting painful...

buffNukaColaDesc,"The delicious taste of Nuka Cola has you feeling revitalized! Recover stamina quicker, and restore a small amount of max health and stamina. The small trace of radiation also allow for a slight movement speed boost for a limited time!"
buffNukaColaName,Nuka Cola
buffNukaCherryDesc,"Mmm...Nuka Cherry! Recover stamina quicker, increase melee damage, and restore a decent amount of max health and stamina. The traces of radiation also allow for a moderate movement speed boost for a limited time!"
buffNukaCherryName,Nuka Cherry
buffNukaQuartzDesc,"Was that expired? Too late now! Damage resistance is increased and health will regenerate, but it does make you queasy!"
buffNukaQuartzName,Nuka Quartz
buffNukaQuantumDesc,"Nuka Quantum has put you into overdrive! Recover stamina and health quicker, and restore a large amount of max health and stamina. The large amount of radiation also allows for a substantial movement speed boost for a limited time, but you'll probably feel it later!"
buffNukaQuantumName,Nuka Quantum
buffNukaQuantumSideEffectDesc,"Your body has crashed from the Quantum rush! But hey, at least your pee will glow for a week! Maybe you should lie down..."
buffNukaQuantumSideEffectName,Quantum Side Effects
buffNukaQuantumSideEffectTooltip,"Ugh, that doesn't feel good..."
buffNukaQuartzSideEffectDesc,"Your body did not appreciate that! Hopefully it was worth it..."
buffNukaQuartzSideEffectName,Quantum Side Effects
buffNukaQuartzSideEffectTooltip,"Ugh, that doesn't feel good..."
buffSunsetSarsaparillaDesc,"The refreshing taste of Sunset Sarsaparilla has you feeling reinvigorated! Recover stamina quicker, and restore a small amount of max health and stamina."
buffSunsetSarsaparillaName,Sunset Sarsaparilla

buffPAsetName,"Power Armor Full Set Bonus"
buffPAsetDesc,"Wearing a full set of Power Armor gives you increased carrying capacity, increased mobility, and reduced fall damage. When adding mods to the Power Armor you may need to remove the piece and then equip it again to make sure you keep this buff."

skillCombatPerksName,"Perks:"
skillCombatPerksDesc,"Various skills to help you survive."
attStrengthDesc,"Strength is the measure of your muscular might. Increasing Strength raises the headshot bonus and dismemberment chance with clubs, sledgehammers and tools."
attStrengthRank01LongDesc,"Deal 200% head shot damage and have a 5% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank02LongDesc,"Deal 210% head shot damage and have a 6% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank03LongDesc,"Deal 220% head shot damage and have a 9% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank04LongDesc,"Deal 230% head shot damage and have a 12% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank05LongDesc,"Deal 240% head shot damage and have a 15% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank06LongDesc,"Deal 250% head shot damage and have a 18% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank07LongDesc,"Deal 260% head shot damage and have a 21% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank08LongDesc,"Deal 270% head shot damage and have a 3% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank09LongDesc,"Deal 285% head shot damage and have a 3% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks one more space of inventory from encumbrance."
attStrengthRank10LongDesc,"Deal 300% head shot damage and have a 30% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er. Unlocks two more spaces of inventory from encumbrance."
attPerceptionDesc,"Perception is the measure of your sensory awareness. Increasing Perception raises the handling of all weapons."
attPerceptionRank01LongDesc,"Weapon handling is normal."
attPerceptionRank02LongDesc,"Weapon handling is increased by 5%."
attPerceptionRank03LongDesc,"Weapon handling is increased by 10%."
attPerceptionRank04LongDesc,"Weapon handling is increased by 15%."
attPerceptionRank05LongDesc,"Weapon handling is increased by 20%."
attPerceptionRank06LongDesc,"Weapon handling is increased by 25%."
attPerceptionRank07LongDesc,"Weapon handling is increased by 30%."
attPerceptionRank08LongDesc,"Weapon handling is increased by 35%."
attPerceptionRank09LongDesc,"Weapon handling is increased by 40%."
attPerceptionRank10LongDesc,"Weapon handling is increased by 50%."
attIntellectDesc,"Intellect is the measure of your mental ability. Increasing Intellect increases experience gained from all actions."
attIntellectRank01LongDesc,"The amount of XP gained when performing actions is 100%."
attIntellectRank02LongDesc,"The amount of XP gained when performing actions is increased by 3%."
attIntellectRank03LongDesc,"The amount of XP gained when performing actions is increased by 6%."
attIntellectRank04LongDesc,"The amount of XP gained when performing actions is increased by 9%."
attIntellectRank05LongDesc,"The amount of XP gained when performing actions is increased by 12%."
attIntellectRank06LongDesc,"The amount of XP gained when performing actions is increased by 15%."
attIntellectRank07LongDesc,"The amount of XP gained when performing actions is increased by 18%."
attIntellectRank08LongDesc,"The amount of XP gained when performing actions is increased by 21%."
attIntellectRank09LongDesc,"The amount of XP gained when performing actions is increased by 25%."
attIntellectRank10LongDesc,"The amount of XP gained when performing actions is increased by 30%."
attFortitudeDesc,"Fortitude is the measure of your physical resilience. Increasing Fortitude will raise your max health."
attFortitudeRank01LongDesc,"Max health is 100."
attFortitudeRank02LongDesc,"Max health is increased by 5."
attFortitudeRank03LongDesc,"Max health is increased by 10."
attFortitudeRank04LongDesc,"Max health is increased by 15."
attFortitudeRank05LongDesc,"Max health is increased by 20."
attFortitudeRank06LongDesc,"Max health is increased by 25."
attFortitudeRank07LongDesc,"Max health is increased by 30."
attFortitudeRank08LongDesc,"Max health is increased by 35."
attFortitudeRank09LongDesc,"Max health is increased by 40."
attFortitudeRank10LongDesc,"Max health is increased by 50."
attAgilityDesc,"Agility is the measure of your athletic prowess. Increasing Agility will raise your max stamina."
attAgilityRank01LongDesc,"Max stamina is 100."
attAgilityRank02LongDesc,"Max stamina is increased by 5."
attAgilityRank03LongDesc,"Max stamina is increased by 10."
attAgilityRank04LongDesc,"Max stamina is increased by 15."
attAgilityRank05LongDesc,"Max stamina is increased by 20."
attAgilityRank06LongDesc,"Max stamina is increased by 25."
attAgilityRank07LongDesc,"Max stamina is increased by 30."
attAgilityRank08LongDesc,"Max stamina is increased by 35."
attAgilityRank09LongDesc,"Max stamina is increased by 40."
attAgilityRank10LongDesc,"Max stamina is increased by 50."
attsurvival,"Survival"
attSurvivalDesc,"Survival is the measure of your will to endure. Increasing Survival will slow food and water drain."
attSurvivalName,"Attribute: Survival"
attSurvivalRank01Desc,"Bowman"
attSurvivalRank01LongDesc,"Food and water consumption is normal."
attSurvivalRank02Desc,"Smooth Talker"
attSurvivalRank02LongDesc,"Food and water consumption is decreased by 3%."
attSurvivalRank03Desc,"Trapper"
attSurvivalRank03LongDesc,"Food and water consumption is decreased by 6%."
attSurvivalRank04Desc,"Green Thumb"
attSurvivalRank04LongDesc,"Food and water consumption is decreased by 9%."
attSurvivalRank05Desc,"Hunter"
attSurvivalRank05LongDesc,"Food and water consumption is decreased by 12%."
attSurvivalRank06Desc,"Efficient Survivalist"
attSurvivalRank06LongDesc,"Food and water consumption is decreased by 15%."
attSurvivalRank07Desc,"Camp Chef"
